solution,APFD,APFDC,APSD,APOD,APOTD,APSBD,WFC,average
0,0.8049645390070921,0.6828014735260821,0.9647606382978723,0.9742907801418439,0.9714700193423597,0.9714700193423597,0.46808510638297873,0.970497864281109
1,0.8049645390070921,0.6828014735260821,0.9647606382978723,0.9742907801418439,0.9714700193423597,0.9714700193423597,0.46808510638297873,0.970497864281109
2,0.8581560283687942,0.7554800810468426,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2765957446808511,0.97029638136686
3,0.8581560283687942,0.759946511087232,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2765957446808511,0.97029638136686
4,0.902482269503546,0.8091143608045035,0.9654255319148936,0.9729609929078014,0.9724371373307543,0.9724371373307543,0.1702127659574468,0.9708151998710508
5,0.902482269503546,0.8091143608045035,0.9654255319148936,0.9729609929078014,0.9724371373307543,0.9724371373307543,0.1702127659574468,0.9708151998710508
6,0.902482269503546,0.8091143608045035,0.9654255319148936,0.9729609929078014,0.9724371373307543,0.9724371373307543,0.1702127659574468,0.9708151998710508
7,0.902482269503546,0.8091143608045035,0.9654255319148936,0.9729609929078014,0.9724371373307543,0.9724371373307543,0.1702127659574468,0.9708151998710508
8,0.8546099290780141,0.7528948186018692,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3829787234042553,0.97029638136686
9,0.8492907801418439,0.7480190263941862,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5,0.97029638136686
10,0.8138297872340425,0.7042115389804067,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.4787234042553192,0.97029638136686
11,0.8475177304964538,0.7454400649357049,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5106382978723404,0.97029638136686
12,0.7854609929078014,0.6736787760317583,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5851063829787234,0.97029638136686
13,0.8634751773049645,0.7573686805750441,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.30851063829787234,0.97029638136686
14,0.8244680851063829,0.7210928511753844,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.46808510638297873,0.97029638136686
15,0.8563829787234042,0.7598398386171952,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.35106382978723405,0.97029638136686
16,0.8581560283687942,0.754048828121529,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3617021276595745,0.97029638136686
17,0.8865248226950354,0.7863003466996644,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.23404255319148937,0.97029638136686
18,0.8492907801418439,0.7450299757315082,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3617021276595745,0.97029638136686
19,0.8865248226950354,0.791488441648099,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.23404255319148937,0.97029638136686
20,0.8617021276595744,0.754817669646387,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.30851063829787234,0.97029638136686
21,0.828014184397163,0.7245329878453971,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5957446808510638,0.97029638136686
22,0.852836879432624,0.7520647444134081,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.48936170212765956,0.97029638136686
23,0.8599290780141844,0.7670996252205547,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.26595744680851063,0.97029638136686
24,0.8882978723404255,0.7807049495218278,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.24468085106382978,0.97029638136686
25,0.8829787234042552,0.7853463531101912,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2765957446808511,0.97029638136686
26,0.8457446808510638,0.7408945898275905,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2872340425531915,0.97029638136686
27,0.8492907801418439,0.7484319025731775,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.46808510638297873,0.97029638136686
28,0.8723404255319148,0.7738599374715951,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2872340425531915,0.97029638136686
29,0.875886524822695,0.7686253121613724,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.26595744680851063,0.97029638136686
30,0.8652482269503545,0.7576697950256781,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.30851063829787234,0.97029638136686
31,0.9095744680851063,0.816865664745189,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.19148936170212766,0.97029638136686
32,0.8191489361702127,0.710472538442884,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5,0.97029638136686
33,0.8404255319148936,0.7338491579377808,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2978723404255319,0.97029638136686
34,0.8617021276595744,0.7624538190198347,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.30851063829787234,0.97029638136686
35,0.8563829787234042,0.7539244240292482,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3191489361702128,0.97029638136686
36,0.8120567375886524,0.7082973652021074,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.4787234042553192,0.97029638136686
37,0.826241134751773,0.7237677007231755,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.4787234042553192,0.97029638136686
38,0.8687943262411346,0.7697476955757543,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2978723404255319,0.97029638136686
39,0.8723404255319148,0.7727294354784638,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2765957446808511,0.97029638136686
40,0.8687943262411346,0.7673551383009988,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.26595744680851063,0.97029638136686
41,0.8634751773049645,0.7610313713192343,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.26595744680851063,0.97029638136686
42,0.8085106382978723,0.695011573619676,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3617021276595745,0.97029638136686
43,0.7890070921985815,0.6729756505647381,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.5638297872340425,0.97029638136686
44,0.8209219858156027,0.7159809739289413,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3723404255319149,0.97029638136686
45,0.8315602836879432,0.7285119396423657,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.40425531914893614,0.97029638136686
46,0.8776595744680851,0.7820164029219129,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.23404255319148937,0.97029638136686
47,0.8670212765957446,0.7608309918705964,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.2978723404255319,0.97029638136686
48,0.7943262411347517,0.6870780257619872,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.46808510638297873,0.97029638136686
49,0.900709219858156,0.8035807617634168,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.19148936170212766,0.97029638136686
50,0.8634751773049645,0.7499919218121895,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3404255319148936,0.97029638136686
51,0.8421985815602836,0.734058302220193,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.44680851063829785,0.97029638136686
52,0.8333333333333333,0.7291737855696746,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.6063829787234043,0.97029638136686
53,0.8226950354609928,0.7192367259621808,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.46808510638297873,0.97029638136686
54,0.8510638297872339,0.7545306112425433,0.9660904255319148,0.9711879432624113,0.9719535783365569,0.9719535783365569,0.3191489361702128,0.97029638136686
