solution,APFD,APFDC,APSD,APOD,APOTD,APSBD,WFC,average,sibling_dup,sibling_dup_std
0,0.6868131868131868,0.3839459759465264,0.949084249084249,0.963851937536148,0.956828885400314,0.956828885400314,0.5164835164835165,0.9566484893552564,0.19545454545454546,0.0
1,0.7335164835164836,0.4140383874907498,0.949084249084249,0.963851937536148,0.956828885400314,0.956828885400314,0.4285714285714285,0.9566484893552564,0.19545454545454546,0.0
2,0.6620879120879121,0.3796002719402213,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6153846153846154,0.9566388498719324,0.19545454545454546,0.0
3,0.6620879120879121,0.3796002719402213,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6153846153846154,0.9566388498719324,0.19545454545454546,0.0
4,0.7774725274725275,0.4556483999446493,0.9512820512820512,0.9635627530364372,0.956828885400314,0.956828885400314,0.3296703296703296,0.957125643779779,0.19545454545454546,0.0
5,0.7692307692307692,0.4429965240384326,0.9512820512820512,0.9635627530364372,0.956828885400314,0.956828885400314,0.3406593406593406,0.957125643779779,0.19545454545454546,0.0
6,0.7692307692307692,0.4429965240384326,0.952014652014652,0.9629843840370156,0.956828885400314,0.956828885400314,0.3406593406593406,0.957164201713074,0.19545454545454546,0.0
7,0.7307692307692307,0.4175664283178812,0.952014652014652,0.9629843840370156,0.956828885400314,0.956828885400314,0.4285714285714285,0.957164201713074,0.19545454545454546,0.0
8,0.695054945054945,0.3943998062726742,0.9527472527472528,0.962406015037594,0.956828885400314,0.956828885400314,0.6483516483516484,0.9572027596463686,0.19545454545454546,0.0
9,0.7032967032967032,0.4031925526282541,0.9534798534798534,0.9612492770387508,0.956043956043956,0.956043956043956,0.5274725274725275,0.9567042606516292,0.19545454545454546,0.0
10,0.6373626373626373,0.3545279626142359,0.9534798534798534,0.9612492770387508,0.956043956043956,0.956043956043956,0.6043956043956044,0.9567042606516292,0.19545454545454546,0.0
11,0.6895604395604396,0.3911109164144802,0.9527472527472528,0.962406015037594,0.956828885400314,0.956828885400314,0.6703296703296703,0.9572027596463686,0.19545454545454546,0.0
12,0.6703296703296704,0.3897807331556497,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5824175824175825,0.9566388498719324,0.19545454545454546,0.0
13,0.6620879120879121,0.3781018181490015,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6153846153846154,0.9566388498719324,0.19545454545454546,0.0
14,0.6703296703296704,0.3870602028722181,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5494505494505495,0.9566388498719324,0.19545454545454546,0.0
15,0.6703296703296704,0.3873222912768556,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5824175824175825,0.9566388498719324,0.19545454545454546,0.0
16,0.6648351648351648,0.3838091033793987,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6043956043956044,0.9566388498719324,0.19545454545454546,0.0
17,0.6703296703296704,0.3821470793499906,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6043956043956044,0.9566388498719324,0.19545454545454546,0.0
18,0.6593406593406593,0.3778775201097387,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6263736263736264,0.9566388498719324,0.19545454545454546,0.0
19,0.6895604395604396,0.4124026851088663,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5824175824175825,0.9566388498719324,0.19545454545454546,0.0
20,0.6565934065934066,0.3760126313826235,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5494505494505495,0.9566388498719324,0.19545454545454546,0.0
21,0.5934065934065934,0.3217028000216589,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6373626373626373,0.9566388498719324,0.19545454545454546,0.0
22,0.6428571428571428,0.3706719690998899,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6703296703296703,0.9566388498719324,0.19545454545454546,0.0
23,0.6895604395604396,0.4003789565196465,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5934065934065934,0.9566388498719324,0.19545454545454546,0.0
24,0.695054945054945,0.4150596674147028,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5714285714285714,0.9566388498719324,0.19545454545454546,0.0
25,0.7032967032967032,0.4009952590952573,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5384615384615384,0.9566388498719324,0.19545454545454546,0.0
26,0.6675824175824175,0.383274021887578,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6153846153846154,0.9566388498719324,0.19545454545454546,0.0
27,0.6923076923076923,0.4167497051975477,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5714285714285714,0.9566388498719324,0.19545454545454546,0.0
28,0.6895604395604396,0.4014462993267674,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5274725274725275,0.9566388498719324,0.19545454545454546,0.0
29,0.6153846153846154,0.3512234677792952,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6703296703296703,0.9566388498719324,0.19545454545454546,0.0
30,0.7005494505494505,0.3991053648029937,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5494505494505495,0.9566388498719324,0.19545454545454546,0.0
31,0.6263736263736264,0.3641385601607576,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5824175824175825,0.9566388498719324,0.19545454545454546,0.0
32,0.7335164835164836,0.4305728944186074,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6043956043956044,0.9566388498719324,0.19545454545454546,0.0
33,0.6703296703296704,0.3926383240179769,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6373626373626373,0.9566388498719324,0.19545454545454546,0.0
34,0.7005494505494505,0.4008471058220476,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5384615384615384,0.9566388498719324,0.19545454545454546,0.0
35,0.7005494505494505,0.4156229506717284,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.5384615384615384,0.9566388498719324,0.19545454545454546,0.0
36,0.7417582417582418,0.4361376667288359,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.4175824175824176,0.9566388498719324,0.19545454545454546,0.0
37,0.651098901098901,0.3719320239692443,0.946153846153846,0.9667437825332562,0.956828885400314,0.956828885400314,0.6263736263736264,0.9566388498719324,0.19545454545454546,0.0
